TrialNumber,disparity_test,TestDisk_radius,TestPos_LorR,ran,order,key
6,0.3,0.9,right,1,5,left
7,0.3,0.9,left,1,6,right
12,0.3,0.9,right,1,11,left
20,0.3,0.9,left,1,19,right
23,0.3,0.9,right,1,22,left
25,0.3,0.9,left,1,24,right
35,0.3,0.9,right,1,34,left
40,0.3,0.9,left,1,39,right
45,0.3,0.9,left,1,44,right
49,0.3,0.9,right,1,48,left
2,0.3,2.1,right,1,1,left
3,0.3,2.1,left,1,2,right
11,0.3,2.1,left,1,10,right
13,0.3,2.1,right,1,12,left
26,0.3,2.1,left,1,25,right
28,0.3,2.1,right,1,27,left
34,0.3,2.1,right,1,33,left
39,0.3,2.1,left,1,38,right
42,0.3,2.1,right,1,41,left
46,0.3,2.1,left,1,45,right
1,0.3,3,right,1,0,right
4,0.3,3,left,1,3,left
15,0.3,3,right,1,14,right
16,0.3,3,left,1,15,left
22,0.3,3,left,1,21,left
29,0.3,3,right,1,28,left
33,0.3,3,left,1,32,right
36,0.3,3,right,1,35,left
44,0.3,3,left,1,43,left
47,0.3,3,right,1,46,right
5,0.3,3.9,left,1,4,left
8,0.3,3.9,right,1,7,right
14,0.3,3.9,left,1,13,left
18,0.3,3.9,right,1,17,right
21,0.3,3.9,left,1,20,left
24,0.3,3.9,right,1,23,right
31,0.3,3.9,left,1,30,left
38,0.3,3.9,right,1,37,right
43,0.3,3.9,left,1,42,left
50,0.3,3.9,right,1,49,right
9,0.3,5.4,left,1,8,left
10,0.3,5.4,right,1,9,right
17,0.3,5.4,left,1,16,left
19,0.3,5.4,right,1,18,right
27,0.3,5.4,left,1,26,left
30,0.3,5.4,right,1,29,right
32,0.3,5.4,right,1,31,right
37,0.3,5.4,left,1,36,left
41,0.3,5.4,left,1,40,left
48,0.3,5.4,right,1,47,right
