TrialNumber,disparity_test,TestDisk_radius,TestPos_LorR,ran,order,key
171,0,4.59,left,1.0,170.0,left
172,-0.15,2.181,right,1.0,171.0,left
173,-0.15,3.507,right,1.0,172.0,left
174,0.3,3.507,left,1.0,173.0,left
175,-0.15,4.59,left,1.0,174.0,left
176,0,5.223000000000001,left,1.0,175.0,left
177,-0.3,4.59,left,1.0,176.0,left
178,0,4.0200000000000005,left,1.0,177.0,left
179,-0.3,4.59,right,1.0,178.0,right
180,0,4.59,right,1.0,179.0,right
181,-0.15,3.507,right,1.0,180.0,right
182,-0.15,1.7069999999999999,left,1.0,181.0,right
183,-0.3,4.59,left,1.0,182.0,right
184,0.15,1.383,right,1.0,183.0,right
185,-0.15,1.383,left,1.0,184.0,right
186,0.15,3.507,left,1.0,185.0,left
187,0.3,1.383,left,1.0,186.0,right
188,0.15,2.181,left,1.0,187.0,right
189,0,4.0200000000000005,right,1.0,188.0,right
190,0.3,2.4749999999999996,left,1.0,189.0,right
191,0,4.59,left,1.0,190.0,left
192,0.15,5.223000000000001,right,1.0,191.0,right
193,-0.15,5.223000000000001,left,1.0,192.0,left
194,0,2.181,right,1.0,193.0,left
195,0.3,3.507,right,1.0,194.0,right
196,0,4.0200000000000005,left,1.0,195.0,left
197,0.3,3.507,left,1.0,196.0,left
198,0,2.4749999999999996,right,1.0,197.0,right
199,0,3.507,left,1.0,198.0,left
200,0.15,2.4749999999999996,right,1.0,199.0,right
201,0.15,4.59,right,1.0,200.0,right
202,0.3,5.223000000000001,left,1.0,201.0,left
203,-0.15,3.0,right,1.0,202.0,left
204,0.3,2.181,left,1.0,203.0,left
205,0.3,4.0200000000000005,right,1.0,204.0,right
206,0.3,4.59,left,1.0,205.0,left
207,0.15,4.0200000000000005,left,1.0,206.0,left
208,0.15,3.0,right,1.0,207.0,left
209,0.3,1.383,right,1.0,208.0,left
210,0.3,3.0,right,1.0,209.0,right
211,0.3,1.7069999999999999,right,1.0,210.0,left
212,-0.3,3.507,right,1.0,211.0,right
213,0.3,2.181,right,1.0,212.0,right
214,-0.3,2.181,left,1.0,213.0,right
215,-0.3,3.0,left,1.0,214.0,left
216,0.15,2.181,right,1.0,215.0,left
217,-0.15,5.223000000000001,right,1.0,216.0,right
218,-0.15,2.181,right,1.0,217.0,right
219,0.15,4.59,left,1.0,218.0,left
220,0,3.507,right,1.0,219.0,right
221,-0.3,3.0,right,1.0,220.0,right
222,0,1.383,right,1.0,221.0,left
223,0.3,5.223000000000001,right,1.0,222.0,right
224,-0.15,4.0200000000000005,right,1.0,223.0,right
225,0.15,4.0200000000000005,right,1.0,224.0,right
226,-0.3,5.223000000000001,left,1.0,225.0,left
227,-0.3,1.383,left,1.0,226.0,right
228,0.15,5.223000000000001,left,1.0,227.0,left
229,-0.15,2.4749999999999996,left,1.0,228.0,right
230,-0.15,2.181,left,1.0,229.0,right
231,0.15,1.7069999999999999,left,1.0,230.0,left
