TrialNumber,disparity_test,TestDisk_radius,TestPos_LorR,ran,order,key
415,0.15,1.7069999999999999,left,1,234,right
416,0.3,5.1,right,1,235,right
417,0,4.59,left,1,236,left
418,0,5.1,left,1,237,left
419,-0.15,4.0200000000000005,left,1,238,left
420,0.3,3.507,left,1,239,left
421,0,1.47,right,1,240,left
422,-0.15,4.59,left,1,241,left
423,0,2.4749999999999996,left,1,242,right
424,0.3,4.0200000000000005,right,1,243,right
425,0.3,2.181,left,1,244,right
426,0,3.507,left,1,245,right
427,-0.15,3,left,1,246,right
428,0.3,3.507,right,1,247,right
429,-0.15,3.507,left,1,248,right
430,0,4.0200000000000005,left,1,249,left
431,-0.15,1.47,right,1,250,left
432,-0.3,1.7069999999999999,left,1,251,right
433,0.15,5.1,left,1,252,left
434,0,4.0200000000000005,right,1,253,right
435,0,3,right,1,254,left
436,0,4.59,right,1,255,right
437,0.15,2.4749999999999996,left,1,256,right
438,0,3,left,1,257,right
439,0.15,4.0200000000000005,right,1,258,right
440,-0.15,2.4749999999999996,left,1,259,right
441,0.3,3,left,1,260,left
442,0.3,1.47,right,1,261,left
443,0.15,3,left,1,262,right
444,-0.3,5.1,left,1,263,left
445,-0.15,2.181,right,1,264,left
446,-0.3,2.181,right,1,265,left
447,0.15,4.59,right,1,266,right
448,-0.15,4.0200000000000005,right,1,267,right
449,-0.3,3,left,1,268,right
450,0.15,3.507,right,1,269,right
